# WAIS Divide WDC06A Core Density, clean version, 0 to 160 m
# Data collected by Daniel J. Breton using MADGE on 3x3x100 cm core sticks
# MADGE paper: www.igsoc.org/journal/55/194/t09J008.pdf
###############################################################################
# This is the CLEAN version of the data, meaning that most core breaks
# and core ends have been REMOVED from this dataset.  This dataset IS NOT
# recommended for accumulation rate studies because the core breaks / ends, 
# even though they appear as low density measurements, still accurately 
# represent additional accumulated mass at the site.
###############################################################################

Depth	Density
1.874	0.44933
1.877	0.44709
1.88	0.45024
1.884	0.45027
1.887	0.46215
1.89	0.46189
1.894	0.44996
1.897	0.46515
1.9	0.46491
1.904	0.46607
1.907	0.45895
1.91	0.46112
1.914	0.4656
1.917	0.46888
1.92	0.46589
1.924	0.4619
1.927	0.46535
1.93	0.47154
1.934	0.46299
1.937	0.4667
1.94	0.45447
1.944	0.45303
1.947	0.45268
1.95	0.47022
1.954	0.45988
1.957	0.46766
1.96	0.46776
1.964	0.4976
1.967	0.45499
1.97	0.46397
1.974	0.45621
1.977	0.46911
1.98	0.46658
1.984	0.48105
1.987	0.45854
1.99	0.46049
1.994	0.44261
1.997	0.43428
2	0.44818
2.003	0.44215
2.007	0.44597
2.01	0.44633
2.013	0.44605
2.017	0.44479
2.02	0.44272
2.023	0.45143
2.027	0.43636
2.03	0.46175
2.033	0.45324
2.037	0.47136
2.04	0.46522
2.043	0.44731
2.047	0.45479
2.05	0.47155
2.053	0.46797
2.057	0.43634
2.06	0.4518
2.063	0.45264
2.067	0.44373
2.07	0.43083
2.073	0.44373
2.077	0.4329
2.083	0.43134
2.087	0.47225
2.09	0.43012
2.094	0.44336
2.097	0.44104
2.1	0.44652
2.104	0.45751
2.107	0.46341
2.11	0.45025
2.114	0.45476
2.117	0.45037
2.12	0.4463
2.124	0.45722
2.127	0.43876
2.131	0.46904
2.134	0.4479
2.137	0.4684
2.141	0.45497
2.144	0.46434
2.147	0.44505
2.151	0.46845
2.154	0.45877
2.158	0.44024
2.161	0.45592
2.164	0.4528
2.168	0.45525
2.171	0.45313
2.175	0.46635
2.178	0.47243
2.181	0.48669
2.185	0.46219
2.188	0.43286
2.191	0.42821
2.195	0.43987
2.198	0.44565
2.202	0.43366
2.205	0.42221
2.208	0.42554
2.212	0.41271
2.215	0.43329
2.219	0.44281
2.222	0.45129
2.225	0.44027
2.229	0.44428
2.232	0.44195
2.235	0.45546
2.239	0.47112
2.242	0.46615
2.245	0.46346
2.249	0.44402
2.252	0.51759
2.259	0.41702
2.262	0.46266
2.266	0.45413
2.269	0.46503
2.272	0.44162
2.276	0.41083
2.279	0.40139
